StockCode,unit_price,SUM(Quantity),stock_revenue
21645,1.65,-1,-1.65
21412,0.42,-6,-2.52
37379A,1.25,-3,-3.75
21228,1.25,-4,-5.0
84499,0.85,-6,-5.1
22146,1.95,-3,-5.85
85126,6.75,-1,-6.75
84415B,3.75,-2,-7.5
85224,2.1,-4,-8.4
62096B,1.25,-8,-10.0
90100,2.55,-4,-10.2
85017A,0.85,-12,-10.2
84249A,0.83,-13,-10.79
84856S,3.81,-3,-11.43
20816,1.95,-6,-11.7
85195,2.1,-6,-12.600000000000001
21895,4.25,-3,-12.75
79192A,1.25,-12,-15.0
16162L,0.65,-24,-15.600000000000001
35597A,1.25,-13,-16.25
85098B,3.75,-5,-18.75
16169P,0.42,-50,-21.0
84990,0.55,-40,-22.0
21144,0.38,-58,-22.04
10123C,0.65,-39,-25.35
20857,1.65,-18,-29.7
20671,1.25,-24,-30.0
85136B,7.95,-4,-31.8
85068,7.95,-4,-31.8
37464,1.25,-26,-32.5
90012A,2.95,-14,-41.300000000000004
84569C,1.25,-36,-45.0
35818B,0.38,-132,-50.160000000000004
21414,2.1,-24,-50.400000000000006
84743C,1.25,-41,-51.25
20701,3.75,-15,-56.25
21040,2.55,-24,-61.199999999999996
90120D,4.25,-16,-68.0
90096,2.55,-27,-68.85
22164,2.95,-24,-70.80000000000001
16162M,0.42,-182,-76.44
47574B,4.25,-18,-76.5
21836,3.75,-22,-82.5
90035A,10.75,-8,-86.0
90014C,9.95,-9,-89.55
35922,4.95,-20,-99.0
84534B,0.85,-120,-102.0
85008,4.95,-21,-103.95
20906,2.95,-36,-106.2
35650,4.95,-23,-113.85000000000001
84522,1.95,-60,-117.0
20756,0.85,-154,-130.9
35817P,2.55,-52,-132.6
21827,1.25,-108,-135.0
21416,3.75,-36,-135.0
84801B,2.1,-66,-138.6
21018,0.85,-195,-165.75
18097A,2.55,-72,-183.6
84751B,3.75,-50,-187.5
22034,0.42,-448,-188.16
85067,18.95,-10,-189.5
21839,5.45,-35,-190.75
84802B,1.69,-121,-204.48999999999998
21637,1.25,-180,-225.0
84548,1.65,-144,-237.6
90082D,6.35,-45,-285.75
20892,12.75,-30,-382.5
84968B,12.75,-34,-433.5
84798B,2.55,-196,-499.79999999999995
62094B,2.55,-219,-558.4499999999999
21332,12.75,-48,-612.0
21486,3.75,-164,-615.0
84809B,2.1,-306,-642.6
35610B,1.25,-517,-646.25
84805B,3.75,-174,-652.5
84805A,3.75,-192,-720.0
20700,3.75,-192,-720.0
35957,0.42,-1728,-725.76
84809A,2.1,-355,-745.5
90180A,9.95,-75,-746.25
84613C,4.65,-172,-799.8000000000001
90010B,8.95,-117,-1047.1499999999999
21349,6.75,-160,-1080.0
84801A,2.1,-520,-1092.0
22415,7.95,-156,-1240.2
21161,1.45,-888,-1287.6
84598,0.21,-6150,-1291.5
84804A,2.95,-440,-1298.0
35610C,1.25,-1096,-1370.0
85136A,7.95,-195,-1550.25
35610A,1.25,-1267,-1583.75
90195A,8.95,-182,-1628.8999999999999
84799,1.25,-1342,-1677.5
20681,3.25,-540,-1755.0
21692,3.75,-472,-1770.0
21472,3.75,-561,-2103.75
37479P,2.55,-897,-2287.35
22351,1.65,-1387,-2288.5499999999997
84614A,5.95,-388,-2308.6
20694,3.75,-737,-2763.75
90191,12.75,-238,-3034.5
84613A,4.65,-672,-3124.8
22202,3.75,-864,-3240.0
79030D,1.65,-2048,-3379.2
21275,16.95,-209,-3542.5499999999997
21815,1.45,-2820,-4089.0
84877D,3.75,-1272,-4770.0
84816,39.95,-120,-4794.0
84352,16.95,-450,-7627.5
21696,2.95,-2790,-8230.5
84859C,5.95,-1449,-8621.550000000001
22127,1.25,-7266,-9082.5
85172,0.42,-30330,-12738.6
85104,5.79,-2310,-13374.9
21689,3.75,-5244,-19665.0
21351,6.75,-4060,-27405.0
79323W,6.75,-4830,-32602.5
79323B,6.75,-4989,-33675.75
79323P,6.75,-5997,-40479.75
23113,5.15,-14014,-72172.1
23269,1.45,-51666,-74915.7
72807A,4.25,-28397,-120687.25
23116,4.95,-24516,-121354.2
72807C,4.25,-32208,-136884.0
85036B,4.25,-43148,-183379.0
72807B,4.25,-43492,-184841.0
23003,0.42,-451348,-189566.16
21622,4.95,-40900,-202455.0
23115,4.95,-51400,-254430.0
23117,4.95,-53880,-266706.0
23114,4.95,-55513,-274789.35000000003
21620,3.75,-78076,-292785.0
23270,1.45,-203327,-294824.14999999997
22618,9.95,-45136,-449103.19999999995
85036C,8.29,-70122,-581311.3799999999
23005,0.42,-2638311,-1108090.6199999999
22617,10.79,-172380,-1859980.2
